Household City,Household County,Household FIPS,Household ST,Household Zip,Agency Name,Agency Address,Agency City,Agency County,Agency ST,Agency Zip
Gilman,Iroquois,17075.0,IL,60938,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Gilman,Iroquois,17075.0,IL,60938,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
